timestamp,P_grid_mw,P_flex_exec_mw,P_IT_load_mw,P_HVAC_load_mw,P_total_dc_load_mw,Queue_mwh_end,SoC_ESD_mwh_end,SoC_Z1_mwh_end,SoC_Z2_mwh_end,SoC_Z3_mwh_end,SoC_Z4_mwh_end,P_ESD_c_mw,P_ESD_d_mw,P_Z_c_total_mw,P_Z_d_total_mw,grid_cost_eur,delay_penalty_eur,total_cost_eur,price_eur_per_mwh,cop
2025-06-20 17:00:00,11.53036483427865,2.305175623,7.683918744,1.346446090278649,9.030364834278648,0.0,16.0,1.625,4.0,3.2302631578947363,4.0,-0.0,0.0,2.5,0.0,1277.6797272864173,0.0,1277.6797272864173,110.81,5.706814999484904
2025-06-20 18:00:00,10.91250374605752,2.153848235,7.179494118,1.2330096280575205,8.41250374605752,0.0,16.0,1.625,4.0,3.2302631578947363,4.0,0.0,0.0,2.5,0.0,1321.3950786101052,0.0,1321.3950786101052,121.09,5.822739705050441
2025-06-20 19:00:00,4.208259872762662,2.262252328,7.540841093000001,1.2611687797626618,8.802009872762662,0.0,11.789473684210527,1.0,4.0,3.2302631578947363,4.0,0.0,4.0,0.0,0.59375,586.4630958682046,0.0,586.4630958682046,139.36,5.979248149814733
2025-06-20 20:00:00,1.699447356402521,0.0,4.891747311,0.8077000454025209,5.699447356402521,2.096463133,7.578947368421054,1.0,4.0,3.2302631578947363,4.0,0.0,4.0,0.0,0.0,233.30013308693808,20.96463133,254.26476441693808,137.28,6.056391031353942
2025-06-20 21:00:00,2.424028526024507,0.0,5.023936075,0.8000924510245088,5.824028526024509,4.249578594,4.0,1.0,4.0,3.2302631578947363,4.0,0.0,3.4000000000000017,0.0,0.0,318.56582889014066,42.49578594,361.0616148301407,131.42,6.279194446300437
2025-06-20 22:00:00,11.642443083949273,4.909495464,10.0,1.642443083949272,11.642443083949273,1.521727931,4.0,1.0,4.0,3.2302631578947363,4.0,0.0,-0.0,0.0,0.0,1362.7479629762622,15.21727931,1377.9652422862623,117.05,6.088491039795968
2025-06-20 23:00:00,9.924749451374314,3.629884133,8.548915271,1.375834180374312,9.924749451374312,0.0,4.0,1.0,4.0,3.2302631578947363,4.0,0.0,-0.0,0.0,0.0,1109.8847311471895,0.0,1109.8847311471895,111.83,6.213623264305126
2025-06-21 00:00:00,7.937446249370387,2.049119642,6.830398806,1.1070474433703859,7.937446249370385,0.0,4.0,1.0,4.0,3.2302631578947363,4.0,0.0,0.0,0.0,0.0,838.3530728585004,0.0,838.3530728585004,105.62,6.169924195122997
2025-06-21 01:00:00,8.01000532707386,2.070630889,6.902102962999999,1.10790236407386,8.01000532707386,0.0,4.0,1.0,4.0,3.2302631578947363,4.0,0.0,0.0,0.0,0.0,836.6450564128646,0.0,836.6450564128646,104.45,6.229883775696917
2025-06-21 02:00:00,7.613010136419189,1.969026614,6.563422048,1.0495880884191884,7.613010136419188,0.0,4.0,1.0,4.0,3.2302631578947363,4.0,0.0,0.0,0.0,0.0,774.7760415833808,0.0,774.7760415833808,101.77,6.253331302459175
2025-06-21 03:00:00,8.31569772732873,2.142717852,7.142392838999999,1.173304888328732,8.31569772732873,0.0,4.0,1.0,4.0,3.2302631578947363,4.0,0.0,-0.0,0.0,0.0,874.645086960436,0.0,874.645086960436,105.18,6.087414200731491
2025-06-21 04:00:00,8.114697075140885,2.091185793,6.970619309,1.1440777661408847,8.114697075140885,0.0,4.0,1.0,4.0,3.2302631578947363,4.0,0.0,0.0,0.0,0.0,837.5990320960422,0.0,837.5990320960422,103.22,6.092784525052661
2025-06-21 05:00:00,8.138604088150927,2.088438542,6.961461806000001,1.1771422821509274,8.138604088150927,0.0,4.0,1.0,4.0,3.2302631578947363,4.0,0.0,0.0,0.0,0.0,808.9772463622022,0.0,808.9772463622022,99.4,5.9138660734195225
2025-06-21 06:00:00,9.974118177768258,1.887670187,6.2922339570000005,1.1007923603437844,7.393026317343785,0.0,6.452037267403249,1.0,4.0,3.2302631578947363,4.0,2.5810918604244724,0.0,0.0,0.0,977.1643578759562,0.0,977.1643578759562,97.97,5.716095227109767
2025-06-21 07:00:00,14.257606138147175,0.0,4.338133845,0.7615775563050702,5.09971140130507,1.859200219,12.152037267403248,1.625,4.0,3.2302631578947363,4.0,5.999999999999999,0.0,3.1578947368421053,0.0,1344.4922588272784,18.592002190000002,1363.0842610172783,94.3,5.696246966687454
2025-06-21 08:00:00,1.796158194868362,0.0,4.676491315,0.8641022839014484,5.540593598901448,3.863410783,8.210526315789473,1.625,4.0,3.2302631578947363,4.0,0.0,3.744435404033086,0.0,0.0,199.78667601520792,38.63410783,238.42078384520792,111.23,5.411964997807317
2025-06-21 09:00:00,0.46009180513163805,0.0,4.272965793,0.7808760121316382,5.053841805131638,5.694681837,4.0,1.625,3.375,3.2302631578947363,4.0,0.0,4.0,0.0,0.59375,53.554686117322674,56.94681837,110.50150448732268,116.4,5.472015693420576
2025-06-21 10:00:00,4.73765686202252,0.0,4.492636181,0.8387706810225202,5.33140686202252,7.620097343,4.0,1.0,3.375,3.2302631578947363,4.0,0.0,-0.0,0.0,0.59375,466.9908368895598,76.20097343,543.1918103195597,98.57,5.356215092691559
2025-06-21 11:00:00,5.7956658237811,0.0,4.903816326,0.8918494977810993,5.7956658237811,9.721732911,4.0,1.0,3.375,3.2302631578947363,4.0,0.0,-0.0,0.0,0.0,431.31345060578946,97.21732911000001,528.5307797157894,74.42,5.498479662993118
2025-06-21 12:00:00,11.889703295595895,5.392014843,10.0,1.8897032955958941,11.889703295595893,6.304568850000001,4.0,1.0,3.375,3.2302631578947363,4.0,0.0,-0.0,0.0,0.0,485.4565855591804,63.04568850000001,548.5022740591804,40.83,5.2918360375969105
2025-06-21 13:00:00,12.479165145318653,4.501758226,10.0,1.847586197950231,11.847586197950232,4.159199956000002,4.600000000000001,1.0,3.375,3.2302631578947363,4.0,0.6315789473684226,0.0,0.0,0.0,321.4632941434085,41.59199956000002,363.05529370340855,25.76,5.412467364767234
